addrReg,addrWork,area,ename,industry,institutional,is_target,listingDate,lootchips,market,name,offerDate,pricelimit,registerDate,shareholders,sname,stockCode,webSite
福建省厦门市翔安区双沪北路1号之2二楼,福建省厦门市金桥路101号(世纪金桥园)商务楼第四层东侧01单元,福建,"Chengtun Mining Group Co., Ltd.",有色金属,149705.23,1.0,1996-05-30 16:00:00,14.57,上海证券交易所,盛屯矿业集团股份有限公司,,14.97,1997-01-13 16:00:00,108.24,盛屯矿业,600711,http://www.600711.com
贵州省贵阳经济技术开发区红河路7号,贵州省贵阳经济技术开发区红河路7号,贵州,"Guizhou Space Appliance Co., Ltd.",电子电气组件与设备,42900.0,1.0,2004-07-25 16:00:00,4.29,中小企业板,贵州航天电器股份有限公司,,4.29,2001-12-29 16:00:00,108.07,航天电器,002025,http://www.gzhtdq.com.cn
浙江省临海经济开发区,浙江省临海经济开发区,浙江,"Zhejiang Weixing New Building Materials Co., Ltd.",建材与构件,77569.67,1.0,2010-03-17 16:00:00,6.8,中小企业板,浙江伟星新型建材股份有限公司,2010-03-07 16:00:00,7.76,2007-12-19 16:00:00,108.0,伟星新材,002372,http://www.china-pipes.com
甘肃省兰州市城关区北滨河东路69号甘肃投资集团大厦,甘肃省兰州市城关区北滨河东路69号甘肃投资集团大厦24楼,甘肃,"GEPIC Energy Development Co., Ltd.",特种化工品,97112.62,1.0,1997-10-13 16:00:00,7.22,深圳证券交易所,甘肃电投能源发展股份有限公司,1997-08-28 16:00:00,9.71,1997-09-11 16:00:00,107.88,甘肃电投,000791,http://www.yoxin.net
山东省寿光市圣城街595号,山东省寿光市农圣东街2199号,山东,Shandong Chenming Paper Holdings Limited,造纸,193640.55,1.0,2000-11-19 16:00:00,11.05,深圳证券交易所,山东晨鸣纸业集团股份有限公司,2000-11-01 16:00:00,19.36,1993-05-04 16:00:00,107.61,晨鸣纸业,000488,http://www.chenmingpaper.com
江苏省无锡市下甸桥南堍,江苏省无锡市下甸桥南堍,江苏,Wuxi Taiji Industry Company Ltd.,电子电气组件与设备,119127.43,1.0,1993-07-27 16:00:00,11.91,上海证券交易所,无锡市太极实业股份有限公司,,11.91,1990-12-12 16:00:00,107.45,太极实业,600667,http://www.wxtj.com
广东省深圳市坪山新区大工业区兰景路以东、锦绣路以南惠程科技工业厂区,广东省深圳市龙岗区大工业区兰景路以东、锦绣路以南惠程科技工业厂区,广东,"Shenzhen Hifuture Electric Co., Ltd.",电子电气组件与设备,82170.48,1.0,2007-09-18 16:00:00,7.57,中小企业板,深圳市惠程电气股份有限公司,2007-09-06 16:00:00,8.22,2003-01-05 16:00:00,107.36,深圳惠程,002168,http://www.hifuture.com
山东省青岛市高科技工业园株洲路187号,山东省青岛市高科技工业园株洲路187号,山东,"Huaren Pharmaceutical Co., Ltd.",制药,65740.34,1.0,2010-08-24 16:00:00,6.54,创业板,华仁药业股份有限公司,2010-08-10 16:00:00,6.57,2001-08-22 16:00:00,107.13,华仁药业,300110,http://www.qdhuaren.com
浙江省杭州市高新区之江科技工业园东信大道69号,浙江省杭州市高新区之江科技工业园东信大道69号,浙江,"Hangzhou Zhongheng Electric Co., Ltd.",工业机械,56356.5,1.0,2010-03-04 16:00:00,4.27,中小企业板,杭州中恒电气股份有限公司,2010-02-21 16:00:00,5.64,2001-07-10 16:00:00,107.07,中恒电气,002364,http://www.hzzh.com
黑龙江省七台河市新兴区宝泰隆路16号,黑龙江省七台河市桃山区景丰路117号宝泰隆矿业大厦5层,黑龙江,"Baotailong New Materials Co., Ltd.",煤炭开采,136750.0,1.0,2011-03-08 16:00:00,13.09,上海证券交易所,宝泰隆新材料股份有限公司,2011-02-23 16:00:00,13.68,2003-06-23 16:00:00,107.06,宝泰隆,601011,http://www.btlgf.com
江苏省丹阳经济技术开发区金陵西路95号,江苏省丹阳市经济开发区齐梁路99号大亚工业园,江苏,"Dare Power Dekor Home Co., Ltd.",建材与构件,53077.0,1.0,1999-06-29 16:00:00,5.28,深圳证券交易所,大亚圣象家居股份有限公司,1999-03-22 16:00:00,5.31,1999-04-19 16:00:00,106.87,大亚圣象,000910,http://www.dareglobal.com.cn
广东省深圳市南山区高新技术产业园区深圳软件园3栋301、302,广东省深圳市南山区高新南区粤兴三道9号华中科技大学产学研基地A座2-8层,广东,Nationz Technologies Inc.,电子电气组件与设备,56364.0,1.0,2010-04-29 16:00:00,5.38,创业板,国民技术股份有限公司,2010-04-20 16:00:00,5.64,2000-03-19 16:00:00,106.68,国民技术,300077,http://www.nationz.com.cn
山西省太原市万柏林区玉河街53号高新技术产业开发区,山西省太原市万柏林区玉河街53号,山西,"Taiyuan Heavy Industry Co., Ltd.",工业机械,242395.5,1.0,1998-09-03 16:00:00,24.24,上海证券交易所,太原重工股份有限公司,1998-06-21 16:00:00,24.24,1998-07-05 16:00:00,106.65,太原重工,600169,http://www.TYHI.COM.CN
